actor,movie_or_TV_name
Paul Marc Davis,"Harry Potter and the Philosopher's Stone,Arthur & Merlin: Knights of Camelot,Cassandra's Dream,The Bible,The Sky in Bloom,Son of God,Diagnosis Superstar,Doctor Who,Class,The Sarah Jane Adventures"
Derek Hough,"Jane the Virgin,The Ellen DeGeneres Show,Lip Sync Battle,Better With You,The Disney Holiday Singalong,The Wonderful World of Disney: Magical Holiday Celebration,World of Dance,The Disney Family Singalong - Volume II,Dance the World With Derek Hough,Celebrity IOU,A Legendary Christmas with John & Chrissy,Hairspray Live!,American Ninja Warrior,Holidays With the Houghs,Disneyland 60: The Wonderful World of Disney,Sherri,Good Mythical Morning,Disney Parks Magical Christmas Day Parade,The Jennifer Hudson Show,Return to Downton Abbey: A Grand Event,This Is Me…Now,The Queen Family Singalong,Rock of Ages,Ridiculousness,Celebrity Family Feud,40th Anniversary Disney Parks Magical Christmas Day Parade,The Kelly Clarkson Show,Make Your Move,Schoolhouse Rock! 50th Anniversary Singalong,MTV Movie & TV Awards,Watch What Happens Live with Andy Cohen,LIVE with Kelly and Mark,Disney Parks Magical Christmas Celebration,Step Into… The Movies with Derek and Julianne Hough,The D'Amelio Show,Tamron Hall,Running Wild with Bear Grylls,The Disney Family Singalong,Dancing with the Stars,High School Musical: The Musical: The Series,Harry Potter and the Philosopher's Stone,Dancing With The Stars: The Pros' Most Memorable Moments,Dick Van Dyke: 98 Years of Magic,Shorebreak: The Clark Little Story"
Jimmy Vee,"Harry Potter and the Philosopher's Stone,Star Wars: The Force Awakens,The Sarah Jane Adventures,Rogue One: A Star Wars Story,Dark Ascension,Bite,Doctor Who: Music of the Spheres - Doctor Who at the Proms 2008,Train Set,Doctor Who: Voyage of the Damned,Pan,Doctor Who,Rocketman,The Witcher: Blood Origin,Star Wars: The Last Jedi,Doctor Who: Music of the Spheres,Doctor Who Extra"
Paul Grant,"Harry Potter and the Philosopher's Stone,The Dead,Legend,Return of the Jedi,Labyrinth,Willow"
Daniel Radcliffe,"David Holmes: The Boy Who Lived,The Tonight Show with Jay Leno,Conan,The Ellen DeGeneres Show,December Boys,Fry and Laurie Reunited,National Theatre Live: Rosencrantz & Guildenstern Are Dead,Unbreakable Kimmy Schmidt: Kimmy vs. the Music: A Live Singing Contest (That's Live),Rachael Ray,Trailing Tonks,What If,Inside the Actors Studio,The Tailor of Panama,Harry Potter and the Deathly Hallows: Part 1,73 Questions,Harry Potter 20th Anniversary: Return to Hogwarts,Kill Your Darlings,A Conversation with J.K. Rowling and Daniel Radcliffe,Lost in London,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,Who Do You Think You Are?,The Simpsons,LIVE with Kelly and Mark,BoJack Horseman,Digman!,The Late Show with Stephen Colbert,(K)nox: The Rob Knox Story,Batso,2 Dope Queens,Beast of Burden,My Boy Jack,50 Greatest Harry Potter Moments,The Magic Touch of Harry Potter,Swiss Army Man,Live from Studio Five,Horns,Extras,Escape from Pretoria,The Daily Show,Watch What Happens Live with Andy Cohen,The Jonathan Ross Show,Mulligan,Circus Kid,Jungle,The Early Show,The View,Miracle Workers,Merrily We Roll Along,TRL,Have I Got News for You,Off Camera with Sam Jones,Harry Potter and the Deathly Hallows: Part 2,Now You See Me 2,David Copperfield,The Frame,Tony Awards,The Robot Chicken Walking Dead Special: Look Who's Walking,The Kumars,Have I Got a Bit More News for You,Good Mythical Morning,Harry Potter and the Half-Blood Prince,GMTV,Harry Potter and the Order of the Phoenix,Tom Felton Meets the Superfans,Ant & Dec's Saturday Night Takeaway,Hot Ones,100 Years of Warner Bros.,The Kelly Clarkson Show,Late Night with Seth Meyers,Harry Potter and the Chamber of Secrets,The Children's Party at the Palace,Harry Potter and the Philosopher's Stone,Imperium,Rick and Morty,Leute heute,The Tonight Show Starring Jimmy Fallon,Endgame & Rough for Theatre II,Rove,The Gamechangers,Child Star,Harry Potter and the Prisoner of Azkaban,Guns Akimbo,Friday Night with Jonathan Ross,Victor Frankenstein,Lie Detector,Daniel Radcliffe: Being Harry Potter,Saturday Night Live,Playmobil: The Movie,When Harry Left Hogwarts,The Art of Breaking Character,Trailblazer Honors,Weird: The Al Yankovic Story,The Lost City,Taff,Late Night with Conan O'Brien,Harry Potter and the Goblet of Fire,A Young Doctor's Notebook,Trainwreck,The Woman in Black,The Graham Norton Show,QI,Extrapolations"
Julianne Hough,"The Bride!,Conan,The Ellen DeGeneres Show,Lip Sync Battle,Entertainment Tonight,The Disney Holiday Singalong,Dolly Parton's Heartstrings,The Wonderful World of Disney: Magical Holiday Celebration,Royalties,Footloose,The Disney Family Singalong - Volume II,Tony Awards,The Steam Engines of Oz,Celebrity IOU,Holidays With the Houghs,Radio Disney Music Awards,Miley's New Year's Eve Party,Disney Parks Magical Christmas Day Parade,Dirty Grandpa,The Jennifer Hudson Show,Burlesque,Grease Live,Rock of Ages,Safe Haven,Celebrity Family Feud,40th Anniversary Disney Parks Magical Christmas Day Parade,Disney Parks Magical Christmas Day Celebration,The Kelly Clarkson Show,Schoolhouse Rock! 50th Anniversary Singalong,Christmas in Washington,Watch What Happens Live with Andy Cohen,LIVE with Kelly and Mark,Curve,My Last Days,Disney Parks Magical Christmas Celebration,Step Into… The Movies with Derek and Julianne Hough,Running Wild with Bear Grylls,Tamron Hall,Keeping Up with the Kardashians,The Disney Family Singalong,Dancing with the Stars,Punk'd,Jimmy Kimmel Live!,Harry Potter and the Philosopher's Stone,Bigger,The Tonight Show Starring Jimmy Fallon,Speechless,America's Got Talent,Miss USA,Paradise,The View"
Dani Harmer,"Harry Potter and the Philosopher's Stone,Tracy Beaker: The Movie of Me,Beast,My Mum Tracy Beaker,Little Crackers,The Beeps,Pie in the Sky,(K)nox: The Rob Knox Story,The Story of Tracy Beaker,After You've Gone,The Beaker Girls,Dani's House,Let's Dance for Sport Relief,Dani's Castle,Tracy Beaker Returns,Kids' TV: The Surprising Story,The Children's Party at the Palace"
Zoe Sugg,"Harry Potter and the Chamber of Secrets,The Great Comic Relief Bake Off,Harry Potter and the Philosopher's Stone,The Creators"
Leila Hoffman,"Walter,EastEnders: Last Tango in Walford,EastEnders,A Kind of Kidnapping,I Hate Suzie,How Not to Live Your Life,Bad Education,Prevenge,Beyond Paradise,Not Going Out,Magnolia,Edvard,The Fools on the Hill,The Tea Party,Tracey Ullman: A Class Act,Roger Roger,Doctor Who,Harry Potter and the Philosopher's Stone,Red Riding Hood: After Ever After,Gangsta Granny Strikes Again,Flowers,The Midnight Gang,Speechless,The Witches"
Violet Columbus,"Harry Potter and the Philosopher's Stone,Nine Months,The Christmas Chronicles: Part Two,The Exiles,Harry Potter and the Chamber of Secrets,Percy Jackson & the Olympians: The Lightning Thief,I Love You, Beth Cooper,Harry Potter and the Prisoner of Azkaban"
Mark Ballas,"Melissa & Joey,Harry Potter and the Philosopher's Stone,The D'Amelio Show,Dancing with the Stars,Samantha Who?,The Ellen DeGeneres Show,The Undefeated,The Light Fantastic"
Kieri Kennedy,"Harry Potter and the Philosopher's Stone,The Stranger,Top Spot,The Comeback,Ugetme,The Survivalist"
David Holmes,"David Holmes: The Boy Who Lived,Harry Potter and the Deathly Hallows: Part 2,Prince of Persia: The Sands of Time,Harry & Paul,In Praise of Action,Bedazzled,Inkheart,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Green Street Hooligans,Harry Potter and the Deathly Hallows: Part 1,National Treasure: Book of Secrets,The Golden Compass,Lost in Space,Harry Potter and the Chamber of Secrets,Doomsday,Harry Potter and the Philosopher's Stone,The Last Legion,Harry Potter and the Goblet of Fire,Mutant Chronicles,My Boy Jack,Harry Potter and the Prisoner of Azkaban"
Scot Fearn,"Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone"
Saunders Triplets,Harry Potter and the Philosopher's Stone
Emily Dale,"Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone"
Jamie Yeates,"Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Mr. Bean"
Jean Southern,"Harry Potter and the Philosopher's Stone,Super Gran,Vera,The Fifteen Streets,Our Friends in the North,The Black Velvet Gown"
Ben Borowiecki,"Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone"
Eleanor Columbus,"Nine Months,In Search of Dr. Seuss,Tallulah,The Witch,Nosferatu,Stepmom,Cusp,Yes, God, Yes,The Exiles,Dìdi (弟弟),Little Accidents,Mediterranea,Harry Potter and the Chamber of Secrets,Menashe,The Lighthouse,The Thursday Murder Club,Harry Potter and the Philosopher's Stone,Patti Cake$,Home Alone 2: Lost in New York,Rent"
Simon Fisher-Becker,"Harry Potter and the Philosopher's Stone,Izzy Vs Jess,Arrivederci Millwall,The Great Director,Doctor Who: A Good Man Goes To War Prequel,Les Misérables,Puppy Love,Carnage: Swallowing the Past,Reduced To Clear,Doctor Who,P.R.O.B.E.: Giles Case Files,Harry Potter: Hogwarts Tournament of Houses"
